,Wavelength,Intensity,Intensity_1416,Intensity_1320,Intensity_1200,Intensity_1655,Intensity_1535
200,1200,5.72749e-07,3.1511761959e-11,5.50772116678e-09,5.6690441615e-07,0.0,2.64203485432e-102
201,1201,5.78559e-07,3.50336478011e-11,5.99501373756e-09,5.67651280851e-07,0.0,9.7115639804e-102
202,1202,5.85743e-07,3.89297439422e-11,6.52086250106e-09,5.6835505039e-07,0.0,3.55595867775e-101
203,1203,5.87606e-07,4.32375671814e-11,7.0878827719e-09,5.69015562116e-07,0.0,1.29700345315e-100
204,1204,5.83127e-07,4.79981465635e-11,7.6988282714e-09,5.69632663252e-07,0.0,4.71240334933e-100
205,1205,5.85917e-07,5.32563257413e-11,8.35659513969e-09,5.70206210957e-07,0.0,1.70553515834e-99
206,1206,5.91535e-07,5.90610886875e-11,9.06422577678e-09,5.70736072375e-07,0.0,6.14887683302e-99
207,1207,5.92095e-07,6.54659102982e-11,9.82491248098e-09,5.71222124693e-07,0.0,2.20824780842e-98
208,1208,5.94254e-07,7.25291335126e-11,1.06420008516e-08,5.71664255182e-07,0.0,7.89981132936e-98
209,1209,5.92698e-07,8.03143746476e-11,1.15189929212e-08,5.72062361247e-07,0.0,2.81515639642e-97
210,1210,5.85997e-07,8.88909587328e-11,1.24595499803e-08,5.72416350461e-07,0.0,9.99321501823e-97
211,1211,5.87741e-07,9.83343867091e-11,1.34674950583e-08,5.72726140605e-07,0.0,3.53366059577e-96
212,1212,5.83634e-07,1.08726836442e-10,1.45468150197e-08,5.72991659697e-07,0.0,1.24469037783e-95
213,1213,5.8042e-07,1.20157699584e-10,1.57016622355e-08,5.73212846022e-07,0.0,4.3673171154e-95
214,1214,5.83048e-07,1.32724156398e-10,1.69363557899e-08,5.73389648153e-07,0.0,1.52645856445e-94
215,1215,5.85917e-07,1.46531790759e-10,1.82553821769e-08,5.73522024975e-07,0.0,5.3146198964e-94
216,1216,5.92333e-07,1.61695247606e-10,1.96633954456e-08,5.73609945697e-07,0.0,1.84321626922e-93
217,1217,5.95388e-07,1.78338935236e-10,2.1165216749e-08,5.73653389868e-07,0.0,6.3679152965e-93
218,1218,5.98641e-07,1.96597774876e-10,2.27658332529e-08,5.73652347379e-07,0.0,2.19146812243e-92
219,1219,6.00282e-07,2.16618000087e-10,2.44703963588e-08,5.73606818474e-07,0.0,7.51259426331e-92
220,1220,5.99838e-07,2.38558008607e-10,2.62842191978e-08,5.73516813744e-07,0.0,2.56543849871e-91
221,1221,6.1128e-07,2.62589269336e-10,2.82127733496e-08,5.73382354127e-07,0.0,8.72670264702e-91
222,1222,6.095e-07,2.88897287212e-10,3.02616847447e-08,5.73203470897e-07,0.0,2.9570294192e-90
223,1223,6.10763e-07,3.17682628835e-10,3.24367287056e-08,5.72980205654e-07,0.0,9.98109086648e-90
224,1224,6.09875e-07,3.4916201172e-10,3.47438240853e-08,5.72712610306e-07,0.0,3.35596382119e-89
225,1225,6.05662e-07,3.83569460148e-10,3.7189026465e-08,5.7240074705e-07,0.0,1.12401841931e-88
226,1226,6.0422e-07,4.21157530612e-10,3.977852037e-08,5.72044688349e-07,0.0,3.75013137927e-88
227,1227,6.06237e-07,4.62198609932e-10,4.25186104699e-08,5.71644516902e-07,0.0,1.24633971526e-87
228,1228,6.09397e-07,5.069862891e-10,4.54157117295e-08,5.71200325611e-07,0.0,4.12613356929e-87
229,1229,6.11416e-07,5.55836815996e-10,4.84763384785e-08,5.70712217549e-07,0.0,1.36071454752e-86
230,1230,6.14072e-07,6.09090630096e-10,5.17070923748e-08,5.70180305917e-07,0.0,4.47000151174e-86
231,1231,6.19711e-07,6.67113982306e-10,5.51146492377e-08,5.69604714002e-07,0.0,1.4627335038e-85
232,1232,6.22863e-07,7.3030064306e-10,5.87057447302e-08,5.68985575126e-07,0.0,4.76803730693e-85
233,1233,6.19896e-07,7.99073701779e-10,6.24871588784e-08,5.68323032599e-07,0.0,1.54821395442e-84
234,1234,6.21498e-07,8.73887460771e-10,6.64656994158e-08,5.67617239662e-07,0.0,5.0077104206e-84
235,1235,6.23666e-07,9.5522942658e-10,7.06481839501e-08,5.66868359427e-07,0.0,1.61348277561e-83
236,1236,6.24349e-07,1.04362240174e-09,7.50414209515e-08,5.66076564815e-07,0.0,5.17852833449e-83
237,1237,6.13887e-07,1.13962667977e-09,7.96521895722e-08,5.65242038488e-07,0.0,1.65563758559e-82
238,1238,6.21381e-07,1.2438423462e-09,8.44872183081e-08,5.64364972782e-07,0.0,5.27279751605e-82
239,1239,6.23352e-07,1.35691168818e-09,8.95531625251e-08,5.63445569631e-07,0.0,1.67276066673e-81
